dataset,query_id,level,predicted_variance_ratio,predicted_relative_variance,empirical_relative_variance,mean_relative_error,ordering_spearman
amazon,0,0.0,0.1784071129741228,0.002484725982717,0.00263785136172,0.0407895935713717,0.9999999723638131
amazon,0,0.25,0.5297959888564863,0.0073786175736273996,0.007623641036366801,0.06995351230742233,0.7549819998604377
amazon,0,0.5,0.8379722863538438,0.01167067544555932,0.011726026886217,0.08646245341840995,0.4731706559886583
amazon,0,0.75,0.9479802318905491,0.013202787007837818,0.01273808719178624,0.0900080140538159,0.2658917025342154
amazon,0,1.0,1.0004195545774177,0.013933124186799078,0.01383354719115532,0.09396663803701234,0.03839831898285934
amazon,1,0.0,0.2883557825418943,0.0045058669009771,0.0043034716868499,0.0526314859953416,0.9999999723638131
amazon,1,0.25,0.6217976537756036,0.009716252063874161,0.009885861899665501,0.07910790716864434,0.7500655405995167
amazon,1,0.5,0.8604983418196703,0.01344620511013212,0.013148895837730759,0.0915612447567413,0.49683727697884905
amazon,1,0.75,0.9735997686432627,0.015213535631772222,0.014863782809711701,0.09746801670784885,0.23346145868862153
amazon,1,1.0,1.0023295722658396,0.0156624694803443,0.0153102810471475,0.09932919201813403,-0.021190613921775316
amazon,2,0.0,0.1594408893880324,0.0018118508513963003,0.0017682443262103,0.033331066540822,0.9999999815758756
amazon,2,0.25,0.5287754732895147,0.006008887024867781,0.00601255996721712,0.06171903879248249,0.7424001177080471
amazon,2,0.5,0.7856132453278861,0.00892753441654122,0.00916367807586006,0.07635453820294942,0.49422616125092295
amazon,2,0.75,0.9423224508293485,0.01070834301902248,0.010782635339749061,0.08330331504924651,0.25467525518287665
amazon,2,1.0,1.0008817516899116,0.01137379790659006,0.01101060383268948,0.08423113882625358,0.01216641118854336
amazon,3,0.0,0.20159076718109786,2.491862297104531e-06,2.58720460433578e-06,0.0012809216119375,0.9999999723638131
amazon,3,0.25,0.5710156606797236,7.058321250525281e-06,6.974711341898094e-06,0.0021040206814566,0.7487392984047244
amazon,3,0.5,0.808984143889738,9.999848283246395e-06,1.010581974888148e-05,0.00252476095413534,0.4946865146691731
amazon,3,0.75,0.9591906720379588,1.185655030142601e-05,1.1902795521911773e-05,0.00274118167269394,0.25574052199690805
amazon,3,1.0,1.0016628497551645,1.2381548642418245e-05,1.2134703857860736e-05,0.0027911183408131,-0.0039961042188251805
amazon,4,0.0,0.1764481493765184,0.0023795708127609,0.0024931661697278,0.0404694037456258,0.9999999815758756
amazon,4,0.25,0.5225270653813643,0.00704677355955638,0.00699477945085184,0.06686217522899862,0.7588132122271409
amazon,4,0.5,0.795019721829789,0.01072159573404532,0.010577021739260738,0.08171593567665995,0.4706846881872602
amazon,4,0.75,0.9567800824407536,0.012903087770837141,0.013016890605057901,0.09060632565711127,0.23434127112788788
amazon,4,1.0,0.9939924391960828,0.01340493173078752,0.01302766548202986,0.09077087600424207,-0.02073809511833842
amazon,5,0.0,0.3612574150704814,0.0068430727677217,0.006620673752067001,0.0646855176057088,0.9999999723638131
amazon,5,0.25,0.6095942225514379,0.011547161247578461,0.011346132695911079,0.08518772279952742,0.7586174960555103
amazon,5,0.5,0.8096662917105707,0.0153370010430536,0.0151251388749339,0.09784080968538687,0.5137246602073222
amazon,5,0.75,0.9577549264812616,0.01814215122553692,0.01813842576533266,0.10704803165820642,0.2767520423718021
amazon,5,1.0,1.001908916960524,0.018978532590265263,0.0191569246390851,0.11008812459230069,-0.014559631406960599
amazon,6,0.0,0.21430465300601229,0.0033358078403113002,0.0032658819583386,0.0462222205138473,0.9999999723638131
amazon,6,0.25,0.5570483074355881,0.00867086218293002,0.00881839630250536,0.07485645126715888,0.767108209720891
amazon,6,0.5,0.767154732790174,0.01194132155544742,0.0117166611317389,0.08648096997102975,0.5175624385526655
amazon,6,0.75,0.9460148328461839,0.014725409141585679,0.014670572378702559,0.09652211572035549,0.2543565938675762
amazon,6,1.0,0.9991925426263837,0.01555315888348984,0.015171432575435758,0.09918874864985054,0.007512558459172041
amazon,7,0.0,0.300760172909142,0.0037109367001237,0.0038048202388507,0.0502320251787548,0.9999999723638131
amazon,7,0.25,0.6205176236010173,0.00765627177369054,0.0080274092960181,0.07208314541767218,0.7469704424069924
amazon,7,0.5,0.8416793821170456,0.01038508150405654,0.010268039836033579,0.08109513452606491,0.496697459981074
amazon,7,0.75,0.9559573818118581,0.01179510337956704,0.01174134433442146,0.08618836103605601,0.243570650645662
amazon,7,1.0,1.0021297267365747,0.01236480197913414,0.012665045646814721,0.08958001521098637,0.01639281339378592
amazon,8,0.0,0.1166027840669543,0.001113934040595,0.0011402432455045,0.027399627076884696,0.9999999723638131
amazon,8,0.25,0.5022993079023648,0.0047985843744390395,0.00459944350064906,0.053676848752306716,0.7524893816011626
amazon,8,0.5,0.8068694351310643,0.00770821500790316,0.007673667801493001,0.06985638150870088,0.4998833117272089
amazon,8,0.75,0.9611199879669456,0.00918180710915032,0.008830565684445079,0.07477192166828484,0.2371658390012467
amazon,8,1.0,1.000734659036911,0.009560255453801101,0.009142692299999361,0.07596746434990112,-0.00917884366968954
amazon,9,0.0,0.1395252273630556,0.0010872353125325,0.0010665126838464,0.026370499146541704,0.9999999723638131
amazon,9,0.25,0.5264256103438607,0.0041021148920834605,0.00423839287629728,0.0521805641678848,0.7596851777686224
amazon,9,0.5,0.7785636561348899,0.00606687346799056,0.00614665315401244,0.0626460673319461,0.49608025548733786
amazon,9,0.75,0.9521009630252255,0.00741914424839944,0.00757393033787702,0.0694837011997941,0.23287351170496168
amazon,9,1.0,0.9999552971104974,0.00779204399462136,0.00806075009194974,0.07212185902784693,0.0157211103390891
amazon,10,0.0,0.0933075501816761,0.00073591402324,0.0006943310401801,0.0213829232598694,0.9999999723638131
amazon,10,0.25,0.4895717018383207,0.00386123823916512,0.0038000130635129797,0.04914258286697354,0.7524323920985381
amazon,10,0.5,0.7545795740712673,0.00595134787193872,0.00598024201149128,0.06188120765056212,0.5188827739730683
amazon,10,0.75,0.9457804246917949,0.007459343601685179,0.007463311040610999,0.06908096769498326,0.26234212171759835
amazon,10,1.0,0.9974005245122518,0.00786646987672894,0.008084797383789342,0.07209341084884806,0.012300362057081158
